Name,mass,radio,x,y,vel,prad
0.0,1.989e+30,696340000.0,0.0,0.0,0.0,0.0
1.0,3.285e+23,2439700.0,69800000000.0,0.0,38859.05466464354,4.71
2.0,4.867e+24,6051800.0,108900000000.0,0.0,34790.38076,-4.71
3.0,5.972e+24,6371000.0,152097701000.0,0.0,29286.71518,4.71
4.0,6.39e+23,3389500.0,249100000000.0,0.0,21978.169603715964,4.71
5.0,1.898e+27,69911000.0,815700000000.0,0.0,12442.892799906214,4.71
6.0,5.683e+26,58232000.0,1503000000000.0,0.0,9123.223026418553,4.71
7.0,8.681e+25,25362000.0,3003000000000.0,0.0,6492.053084098531,4.71
8.0,1.024e+26,24622000.0,4456000000000.0,0.0,5456.419061679618,4.71
